transformation,model,prediction,total.calls,detected.calls,false.positives,missed.calls,precision,recall
mel,rf,wide,21,19,0,2,1,0.9047619047619048
fft,rf,precise,21,17,0,4,1,0.8095238095238095
fft,rf,wide,21,18,0,3,1,0.8571428571428571
mel,ensemble,precise,21,18,1,3,0.9473684210526315,0.8571428571428571
mel,ensemble,wide,21,19,1,2,0.95,0.9047619047619048
fft,ensemble,precise,21,17,0,4,1,0.8095238095238095
fft,ensemble,wide,21,18,0,3,1,0.8571428571428571
stft,ensemble,precise,21,18,1,3,0.9473684210526315,0.8571428571428571
stft,ensemble,wide,21,19,1,2,0.95,0.9047619047619048
all,ensemble,precise,21,18,2,3,0.9,0.8571428571428571
all,ensemble,wide,21,19,2,2,0.9047619047619048,0.9047619047619048
mel,knn,precise,13,12,1,1,0.9230769230769231,0.9230769230769231
mel,knn,wide,13,12,0,1,1,0.9230769230769231
stft,knn,precise,13,13,1,0,0.9285714285714286,1
stft,knn,wide,13,13,0,0,1,1
fft,knn,precise,13,13,1,0,0.9285714285714286,1
fft,knn,wide,13,13,0,0,1,1
stft,rf,precise,13,13,1,0,0.9285714285714286,1
stft,rf,wide,13,13,0,0,1,1
mel,rf,precise,13,13,1,0,0.9285714285714286,1
mel,rf,wide,13,13,0,0,1,1
fft,rf,precise,13,13,2,0,0.8666666666666667,1
fft,rf,wide,13,13,1,0,0.9285714285714286,1
mel,ensemble,precise,13,13,1,0,0.9285714285714286,1
mel,ensemble,wide,13,13,0,0,1,1
fft,ensemble,precise,13,13,2,0,0.8666666666666667,1
fft,ensemble,wide,13,13,1,0,0.9285714285714286,1
stft,ensemble,precise,13,13,1,0,0.9285714285714286,1
stft,ensemble,wide,13,13,0,0,1,1
all,ensemble,precise,13,13,2,0,0.8666666666666667,1
all,ensemble,wide,13,13,1,0,0.9285714285714286,1
mel,knn,precise,10,1,4,9,0.2,0.1
mel,knn,wide,10,1,4,9,0.2,0.1
stft,knn,precise,10,0,0,10,0,0
stft,knn,wide,10,0,0,10,0,0
fft,knn,precise,10,0,1,10,0,0
fft,knn,wide,10,0,1,10,0,0
stft,rf,precise,10,0,0,10,0,0
stft,rf,wide,10,0,0,10,0,0
mel,rf,precise,10,7,0,3,1,0.7
mel,rf,wide,10,7,0,3,1,0.7
fft,rf,precise,10,0,1,10,0,0
fft,rf,wide,10,0,1,10,0,0
mel,ensemble,precise,10,7,4,3,0.6363636363636364,0.7
mel,ensemble,wide,10,7,4,3,0.6363636363636364,0.7
fft,ensemble,precise,10,0,2,10,0,0
fft,ensemble,wide,10,0,2,10,0,0
stft,ensemble,precise,10,0,0,10,0,0
stft,ensemble,wide,10,0,0,10,0,0
all,ensemble,precise,10,7,4,3,0.6363636363636364,0.7
all,ensemble,wide,10,7,4,3,0.6363636363636364,0.7
mel,knn,precise,6,5,3,1,0.625,0.8333333333333334
mel,knn,wide,6,5,2,1,0.7142857142857143,0.8333333333333334
stft,knn,precise,6,5,0,1,1,0.8333333333333334
stft,knn,wide,6,5,0,1,1,0.8333333333333334
fft,knn,precise,6,5,0,1,1,0.8333333333333334
fft,knn,wide,6,5,0,1,1,0.8333333333333334
stft,rf,precise,6,6,0,0,1,1
stft,rf,wide,6,6,0,0,1,1
mel,rf,precise,6,6,0,0,1,1
mel,rf,wide,6,6,0,0,1,1
fft,rf,precise,6,5,1,1,0.8333333333333334,0.8333333333333334
fft,rf,wide,6,5,1,1,0.8333333333333334,0.8333333333333334
mel,ensemble,precise,6,6,3,0,0.6666666666666666,1
mel,ensemble,wide,6,6,2,0,0.75,1
fft,ensemble,precise,6,5,1,1,0.8333333333333334,0.8333333333333334
fft,ensemble,wide,6,5,1,1,0.8333333333333334,0.8333333333333334
stft,ensemble,precise,6,6,0,0,1,1
stft,ensemble,wide,6,6,0,0,1,1
all,ensemble,precise,6,6,3,0,0.6666666666666666,1
all,ensemble,wide,6,6,2,0,0.75,1
mel,knn,precise,32,31,1,1,0.96875,0.96875
mel,knn,wide,32,31,0,1,1,0.96875
stft,knn,precise,32,32,5,0,0.8648648648648649,1
stft,knn,wide,32,32,0,0,1,1
fft,knn,precise,32,32,1,0,0.9696969696969697,1
fft,knn,wide,32,32,0,0,1,1
stft,rf,precise,32,32,2,0,0.9411764705882353,1
stft,rf,wide,32,32,0,0,1,1
mel,rf,precise,32,32,1,0,0.9696969696969697,1
mel,rf,wide,32,32,0,0,1,1
fft,rf,precise,32,32,3,0,0.9142857142857143,1
fft,rf,wide,32,32,0,0,1,1
mel,ensemble,precise,32,32,1,0,0.9696969696969697,1
mel,ensemble,wide,32,32,0,0,1,1
fft,ensemble,precise,32,32,3,0,0.9142857142857143,1
fft,ensemble,wide,32,32,0,0,1,1
stft,ensemble,precise,32,32,5,0,0.8648648648648649,1
stft,ensemble,wide,32,32,0,0,1,1
all,ensemble,precise,32,32,5,0,0.8648648648648649,1
all,ensemble,wide,32,32,0,0,1,1
mel,knn,precise,12,12,2,0,0.8571428571428571,1
